Time [s], II
0,0.72549
0.008,0.67059
0.016,0.6098
0.024,0.55098
0.032,0.5
0.04,0.4549
0.048,0.4098
0.056,0.3902
0.064,0.37451
0.072,0.35882
0.08,0.3549
0.088,0.34902
0.096,0.3549
0.104,0.36471
0.112,0.3549
0.12,0.36471
0.128,0.37451
0.136,0.37059
0.144,0.3902
0.152,0.3902
0.16,0.3902
0.168,0.39412
0.176,0.40392
0.184,0.40392
0.192,0.4
0.2,0.39412
0.208,0.38431
0.216,0.38431
0.224,0.38039
0.232,0.3902
0.24,0.40392
0.248,0.41961
0.256,0.41961
0.264,0.42549
0.272,0.42549
0.28,0.4
0.288,0.3902
0.296,0.40392
0.304,0.41961
0.312,0.42941
0.32,0.43529
0.328,0.42941
0.336,0.41569
0.344,0.4098
0.352,0.41569
0.36,0.41961
0.368,0.40392
0.376,0.34902
0.384,0.6549
0.392,1.5039
0.4,1.5039
0.408,1.5039
0.416,0.66078
0.424,0.42941
0.432,0.41961
0.44,0.40392
0.448,0.38431
0.456,0.34902
0.464,0.33922
0.472,0.3549
0.48,0.38039
0.488,0.38039
0.496,0.3902
0.504,0.40392
0.512,0.39412
0.52,0.40392
0.528,0.42941
0.536,0.43529
0.544,0.43922
0.552,0.46078
0.56,0.48431
0.568,0.51569
0.576,0.55098
0.584,0.60588
0.592,0.6549
0.6,0.69608
0.608,0.72549
0.616,0.74118
0.624,0.75098
0.632,0.74118
0.64,0.71569
0.648,0.66471
0.656,0.60588
0.664,0.5451
0.672,0.47451
0.68,0.42941
0.688,0.38431
0.696,0.3451
0.704,0.31961
0.712,0.3098
0.72,0.3098
0.728,0.3098
0.736,0.30392
0.744,0.29412
0.752,0.3
0.76,0.32941
0.768,0.32941
0.776,0.32353
0.784,0.33922
0.792,0.32941
0.8,0.33529
0.808,0.33922
0.816,0.33922
0.824,0.33922
0.832,0.33922
0.84,0.33529
0.848,0.32941
0.856,0.31961
0.864,0.32941
0.872,0.33529
0.88,0.33922
0.888,0.3549
0.896,0.36471
0.904,0.3451
0.912,0.33529
0.92,0.31373
0.928,0.3098
0.936,0.31373
0.944,0.32941
0.952,0.31961
0.96,0.33529
0.968,0.3098
0.976,0.3098
0.984,0.30392
0.992,0.3098
1,0.31373
1.008,0.26471
1.016,0.4549
1.024,1.2078
1.032,1.5039
1.04,1.5039
1.048,0.82549
1.056,0.33529
1.064,0.31373
1.072,0.33529
1.08,0.31373
1.088,0.3098
1.096,0.30392
1.104,0.3098
1.112,0.31373
1.12,0.3098
1.128,0.33529
1.136,0.33529
1.144,0.34902
1.152,0.36471
1.16,0.37451
1.168,0.40392
1.176,0.42549
1.184,0.44902
1.192,0.48039
1.2,0.51569
1.208,0.57059
1.216,0.6098
1.224,0.67647
1.232,0.73137
1.24,0.77647
1.248,0.8
1.256,0.8
1.264,0.8
1.272,0.77647
1.28,0.71569
1.288,0.65098
1.296,0.58431
1.304,0.50588
1.312,0.43529
1.32,0.37059
1.328,0.32941
1.336,0.2902
1.344,0.25882
1.352,0.23922
1.36,0.22941
1.368,0.23922
1.376,0.2549
1.384,0.26471
1.392,0.28431
1.4,0.30392
1.408,0.32941
1.416,0.3451
1.424,0.3549
1.432,0.37059
1.44,0.38039
1.448,0.38431
1.456,0.39412
1.464,0.38431
1.472,0.38431
1.48,0.38039
1.488,0.37451
1.496,0.37059
1.504,0.36471
1.512,0.35882
1.52,0.37451
1.528,0.38431
1.536,0.38039
1.544,0.35882
1.552,0.34902
1.56,0.31373
1.568,0.3098
1.576,0.31961
1.584,0.33529
1.592,0.33922
1.6,0.33529
1.608,0.33529
1.616,0.32353
1.624,0.32941
1.632,0.33529
1.64,0.3451
1.648,0.3
1.656,0.25882
1.664,0.71569
1.672,1.5039
1.68,1.5039
1.688,1.3784
1.696,0.51961
1.704,0.40392
1.712,0.4098
1.72,0.37059
1.728,0.3549
1.736,0.33529
1.744,0.3549
1.752,0.37059
1.76,0.37451
1.768,0.36471
1.776,0.38039
1.784,0.38039
1.792,0.38039
1.8,0.4
1.808,0.41961
1.816,0.41961
1.824,0.46078
1.832,0.47451
1.84,0.50588
1.848,0.52549
1.856,0.5902
1.864,0.61961
1.872,0.67647
1.88,0.72157
1.888,0.75098
1.896,0.77647
1.904,0.77059
1.912,0.77059
1.92,0.7451
1.928,0.6902
1.936,0.62941
1.944,0.56471
1.952,0.50588
1.96,0.4549
1.968,0.41569
1.976,0.3902
1.984,0.36471
1.992,0.3451
2,0.33529
2.008,0.32941
2.016,0.33529
2.024,0.32353
2.032,0.33922
2.04,0.35882
2.048,0.36471
2.056,0.37451
2.064,0.36471
2.072,0.38039
2.08,0.38431
2.088,0.39412
2.096,0.40392
2.104,0.38039
2.112,0.39412
2.12,0.39412
2.128,0.38039
2.136,0.37451
2.144,0.37059
2.152,0.37451
2.16,0.3902
2.168,0.4
2.176,0.39412
2.184,0.3902
2.192,0.38039
2.2,0.3549
2.208,0.31961
2.216,0.3451
2.224,0.35882
2.232,0.37451
2.24,0.37059
2.248,0.37451
2.256,0.33922
2.264,0.34902
2.272,0.33922
2.28,0.34902
2.288,0.3549
2.296,0.26863
2.304,0.44902
2.312,1.1765
2.32,1.5039
2.328,1.5039
2.336,0.81569
2.344,0.4549
2.352,0.42941
2.36,0.4
2.368,0.36471
2.376,0.34902
2.384,0.33922
2.392,0.34902
2.4,0.37059
2.408,0.35882
2.416,0.38039
2.424,0.39412
2.432,0.40392
2.44,0.41569
2.448,0.41961
2.456,0.42941
2.464,0.44902
2.472,0.47059
2.48,0.4902
2.488,0.51961
2.496,0.56471
2.504,0.6
2.512,0.6451
2.52,0.69608
2.528,0.7451
2.536,0.77647
2.544,0.79608
2.552,0.79608
2.56,0.78039
2.568,0.74118
2.576,0.7
2.584,0.65098
2.592,0.58431
2.6,0.52549
2.608,0.48039
2.616,0.4549
2.624,0.42941
2.632,0.41569
2.64,0.4
2.648,0.3902
2.656,0.3902
2.664,0.40392
2.672,0.41569
2.68,0.4098
2.688,0.41961
2.696,0.42549
2.704,0.41961
2.712,0.42549
2.72,0.41569
2.728,0.42549
2.736,0.42549
2.744,0.41569
2.752,0.4098
2.76,0.40392
2.768,0.39412
2.776,0.40392
2.784,0.4
2.792,0.38039
2.8,0.40392
2.808,0.4098
2.816,0.40392
2.824,0.41569
2.832,0.39412
2.84,0.37451
2.848,0.36471
2.856,0.35882
2.864,0.35882
2.872,0.36471
2.88,0.3549
2.888,0.35882
2.896,0.34902
2.904,0.33922
2.912,0.33529
2.92,0.33529
2.928,0.3451
2.936,0.27451
2.944,0.42941
2.952,1.0922
2.96,1.5039
2.968,1.5039
2.976,0.89608
2.984,0.35882
2.992,0.33922
3,0.3549
3.008,0.33529
3.016,0.3098
3.024,0.31373
3.032,0.3098
3.04,0.31961
3.048,0.33529
3.056,0.32941
3.064,0.3451
3.072,0.3549
3.08,0.35882
3.088,0.37059
3.096,0.37451
3.104,0.3902
3.112,0.41961
3.12,0.4451
3.128,0.48039
3.136,0.52941
3.144,0.57059
3.152,0.61961
3.16,0.68627
3.168,0.72549
3.176,0.74118
3.184,0.7451
3.192,0.7549
3.2,0.72549
3.208,0.68627
3.216,0.61569
3.224,0.56471
3.232,0.49412
3.24,0.41961
3.248,0.37059
3.256,0.34902
3.264,0.32941
3.272,0.3
3.28,0.30392
3.288,0.28431
3.296,0.2902
3.304,0.28431
3.312,0.3
3.32,0.3098
3.328,0.30392
3.336,0.32941
3.344,0.33529
3.352,0.33529
3.36,0.33529
3.368,0.33922
3.376,0.3549
3.384,0.3549
3.392,0.3549
3.4,0.3549
3.408,0.34902
3.416,0.33922
3.424,0.3451
3.432,0.34902
3.44,0.3549
3.448,0.36471
3.456,0.37059
3.464,0.37059
3.472,0.37451
3.48,0.33529
3.488,0.31961
3.496,0.33529
3.504,0.33922
3.512,0.3451
3.52,0.32353
3.528,0.32353
3.536,0.30392
3.544,0.3
3.552,0.3098
3.56,0.3098
3.568,0.2902
3.576,0.2549
3.584,0.65098
3.592,1.5039
3.6,1.5039
3.608,1.4627
3.616,0.50588
3.624,0.32941
3.632,0.35882
3.64,0.36471
3.648,0.37059
3.656,0.35882
3.664,0.33529
3.672,0.33529
3.68,0.34902
3.688,0.37059
3.696,0.38039
3.704,0.4
3.712,0.39412
3.72,0.40392
3.728,0.41961
3.736,0.42549
3.744,0.42941
3.752,0.4549
3.76,0.49412
3.768,0.52941
3.776,0.57451
3.784,0.63529
3.792,0.69608
3.8,0.76078
3.808,0.7902
3.816,0.82549
3.824,0.81176
3.832,0.79608
3.84,0.76078
3.848,0.70588
3.856,0.63529
3.864,0.58039
3.872,0.50588
3.88,0.46078
3.888,0.40392
3.896,0.38039
3.904,0.3549
3.912,0.3451
3.92,0.33529
3.928,0.32941
3.936,0.33529
3.944,0.33529
3.952,0.3451
3.96,0.3549
3.968,0.35882
3.976,0.3549
3.984,0.38039
3.992,0.38039
4,0.3902
4.008,0.40392
4.016,0.39412
4.024,0.4
4.032,0.39412
4.04,0.40392
4.048,0.3902
4.056,0.38039
4.064,0.36471
4.072,0.35882
4.08,0.38039
4.088,0.4
4.096,0.4098
4.104,0.4
4.112,0.4098
4.12,0.38431
4.128,0.3549
4.136,0.34902
4.144,0.3451
4.152,0.37451
4.16,0.36471
4.168,0.37059
4.176,0.35882
4.184,0.3451
4.192,0.33922
4.2,0.33922
4.208,0.33922
4.216,0.27451
4.224,0.26471
4.232,0.94118
4.24,1.5039
4.248,1.5039
4.256,1.1059
4.264,0.48039
4.272,0.41961
4.28,0.38431
4.288,0.3549
4.296,0.32941
4.304,0.31961
4.312,0.32941
4.32,0.34902
4.328,0.3451
4.336,0.36471
4.344,0.37451
4.352,0.37059
4.36,0.38039
4.368,0.3902
4.376,0.40392
4.384,0.41961
4.392,0.43922
4.4,0.46471
4.408,0.4902
4.416,0.53922
4.424,0.58039
4.432,0.62549
4.44,0.68627
4.448,0.70588
4.456,0.74118
4.464,0.75098
4.472,0.76667
4.48,0.75098
4.488,0.7098
4.496,0.6549
4.504,0.6098
4.512,0.5549
4.52,0.49412
4.528,0.43922
4.536,0.40392
4.544,0.39412
4.552,0.38039
4.56,0.37451
4.568,0.35882
4.576,0.37059
4.584,0.36471
4.592,0.37059
4.6,0.36471
4.608,0.38039
4.616,0.38431
4.624,0.3902
4.632,0.39412
4.64,0.4
4.648,0.4
4.656,0.39412
4.664,0.4098
4.672,0.4098
4.68,0.40392
4.688,0.4
4.696,0.39412
4.704,0.3902
4.712,0.38039
4.72,0.3902
4.728,0.4098
4.736,0.42941
4.744,0.43922
4.752,0.43529
4.76,0.41961
4.768,0.4
4.776,0.40392
4.784,0.41569
4.792,0.43922
4.8,0.42941
4.808,0.42941
4.816,0.42549
4.824,0.41961
4.832,0.41569
4.84,0.42549
4.848,0.42941
4.856,0.36471
4.864,0.3549
4.872,0.99216
4.88,1.5039
4.888,1.5039
4.896,1.1471
4.904,0.5098
4.912,0.43529
4.92,0.42549
4.928,0.40392
4.936,0.38431
4.944,0.36471
4.952,0.35882
4.96,0.38039
4.968,0.37451
4.976,0.38431
4.984,0.3902
4.992,0.4
5,0.40392
5.008,0.41961
5.016,0.42941
5.024,0.4451
5.032,0.44902
5.04,0.47451
5.048,0.5098
5.056,0.53529
5.064,0.57059
5.072,0.62941
5.08,0.68039
5.088,0.7098
5.096,0.73137
5.104,0.7451
5.112,0.7451
5.12,0.72549
5.128,0.69608
5.136,0.64118
5.144,0.58039
5.152,0.51961
5.16,0.46078
5.168,0.4
5.176,0.37059
5.184,0.34902
5.192,0.33529
5.2,0.31373
5.208,0.30392
5.216,0.3098
5.224,0.3098
5.232,0.3098
5.24,0.32353
5.248,0.33529
5.256,0.32941
5.264,0.33529
5.272,0.33922
5.28,0.34902
5.288,0.33529
5.296,0.3451
5.304,0.3451
5.312,0.32941
5.32,0.33529
5.328,0.33529
5.336,0.3098
5.344,0.32941
5.352,0.3549
5.36,0.34902
5.368,0.3549
5.376,0.34902
5.384,0.3549
5.392,0.31961
5.4,0.3098
5.408,0.3098
5.416,0.3098
5.424,0.32941
5.432,0.31961
5.44,0.31961
5.448,0.32941
5.456,0.3
5.464,0.31373
5.472,0.31373
5.48,0.32353
5.488,0.25882
5.496,0.49412
5.504,1.3569
5.512,1.5039
5.52,1.5039
5.528,0.68039
5.536,0.3
5.544,0.32941
5.552,0.33529
5.56,0.31373
5.568,0.28431
5.576,0.28431
5.584,0.3098
5.592,0.31961
5.6,0.31373
5.608,0.31961
5.616,0.32941
5.624,0.33922
5.632,0.3549
5.64,0.37451
5.648,0.3902
5.656,0.40392
5.664,0.4451
5.672,0.48039
5.68,0.5098
5.688,0.55098
5.696,0.60588
5.704,0.66078
5.712,0.7098
5.72,0.7451
5.728,0.76667
5.736,0.77059
5.744,0.7549
5.752,0.72549
5.76,0.67059
5.768,0.6
5.776,0.51961
5.784,0.43922
5.792,0.38039
5.8,0.32941
5.808,0.29412
5.816,0.27451
5.824,0.26471
5.832,0.26471
5.84,0.26863
5.848,0.28431
5.856,0.30392
5.864,0.31373
5.872,0.31961
5.88,0.32941
5.888,0.3451
5.896,0.33922
5.904,0.36471
5.912,0.37451
5.92,0.37451
5.928,0.38039
5.936,0.36471
5.944,0.37059
5.952,0.3451
5.96,0.33922
5.968,0.33529
5.976,0.33529
5.984,0.33922
5.992,0.37059
6,0.38039
6.008,0.38039
6.016,0.37059
6.024,0.38039
6.032,0.33922
6.04,0.32353
6.048,0.33529
6.056,0.33922
6.064,0.3549
6.072,0.35882
6.08,0.34902
6.088,0.33529
6.096,0.32941
6.104,0.32941
6.112,0.33922
6.12,0.3549
6.128,0.26863
6.136,0.59608
6.144,1.5039
6.152,1.5039
6.16,1.5039
6.168,0.60588
6.176,0.4098
6.184,0.39412
6.192,0.37451
6.2,0.34902
6.208,0.34902
6.216,0.3451
6.224,0.35882
6.232,0.3549
6.24,0.36471
6.248,0.3902
6.256,0.38039
6.264,0.38431
6.272,0.40392
6.28,0.4098
6.288,0.40392
6.296,0.46078
6.304,0.48431
6.312,0.5
6.32,0.52941
6.328,0.57059
6.336,0.6098
6.344,0.68039
6.352,0.71569
6.36,0.75098
6.368,0.76667
6.376,0.77647
6.384,0.76667
6.392,0.73529
6.4,0.6902
6.408,0.62941
6.416,0.57059
6.424,0.5098
6.432,0.46471
6.44,0.41961
6.448,0.3902
6.456,0.35882
6.464,0.3549
6.472,0.34902
6.48,0.33922
6.488,0.3451
6.496,0.3549
6.504,0.36471
6.512,0.35882
6.52,0.35882
6.528,0.37451
6.536,0.38039
6.544,0.3902
6.552,0.40392
6.56,0.4098
6.568,0.4
6.576,0.39412
6.584,0.38431
6.592,0.38039
6.6,0.37059
6.608,0.36471
6.616,0.37451
6.624,0.3902
6.632,0.40392
6.64,0.41569
6.648,0.40392
6.656,0.4
6.664,0.38039
6.672,0.3549
6.68,0.3549
6.688,0.34902
6.696,0.37451
6.704,0.38431
6.712,0.37059
6.72,0.34902
6.728,0.33922
6.736,0.3549
6.744,0.34902
6.752,0.35882
6.76,0.27843
6.768,0.26471
6.776,0.92157
6.784,1.5039
6.792,1.5039
6.8,1.0412
6.808,0.47059
6.816,0.41569
6.824,0.38039
6.832,0.37451
6.84,0.34902
6.848,0.33529
6.856,0.31961
6.864,0.34902
6.872,0.3549
6.88,0.3451
6.888,0.38039
6.896,0.38431
6.904,0.3902
6.912,0.40392
6.92,0.41569
6.928,0.42549
6.936,0.43922
6.944,0.46471
6.952,0.49412
6.96,0.53922
6.968,0.58039
6.976,0.62549
6.984,0.67647
6.992,0.70588
7,0.74118
7.008,0.7549
7.016,0.75098
7.024,0.73529
7.032,0.70588
7.04,0.66078
7.048,0.60588
7.056,0.55098
7.064,0.50588
7.072,0.46078
7.08,0.42941
7.088,0.4098
7.096,0.40392
7.104,0.40392
7.112,0.4
7.12,0.40392
7.128,0.42549
7.136,0.42941
7.144,0.43529
7.152,0.4451
7.16,0.44902
7.168,0.44902
7.176,0.4451
7.184,0.4451
7.192,0.44902
7.2,0.44902
7.208,0.43922
7.216,0.43529
7.224,0.43529
7.232,0.42549
7.24,0.41961
7.248,0.41961
7.256,0.41569
7.264,0.42941
7.272,0.43922
7.28,0.43529
7.288,0.42941
7.296,0.41961
7.304,0.3902
7.312,0.38039
7.32,0.38039
7.328,0.39412
7.336,0.40392
7.344,0.3902
7.352,0.38431
7.36,0.38039
7.368,0.35882
7.376,0.36471
7.384,0.35882
7.392,0.37451
7.4,0.29412
7.408,0.65098
7.416,1.5039
7.424,1.5039
7.432,1.5039
7.44,0.55098
7.448,0.35882
7.456,0.38039
7.464,0.3549
7.472,0.33922
7.48,0.32941
7.488,0.33922
7.496,0.33922
7.504,0.33529
7.512,0.33922
7.52,0.3451
7.528,0.35882
7.536,0.35882
7.544,0.37451
7.552,0.38039
7.56,0.3902
7.568,0.4098
7.576,0.42941
7.584,0.4549
7.592,0.49412
7.6,0.53922
7.608,0.58431
7.616,0.63529
7.624,0.68039
7.632,0.70588
7.64,0.72157
7.648,0.73137
7.656,0.72157
7.664,0.68627
7.672,0.64118
7.68,0.58431
7.688,0.50588
7.696,0.4549
7.704,0.40392
7.712,0.35882
7.72,0.33529
7.728,0.3098
7.736,0.2902
7.744,0.29412
7.752,0.2902
7.76,0.28431
7.768,0.3098
7.776,0.30392
7.784,0.3
7.792,0.31961
7.8,0.33922
7.808,0.33529
7.816,0.33922
7.824,0.3549
7.832,0.3451
7.84,0.3549
7.848,0.34902
7.856,0.33922
7.864,0.33529
7.872,0.33922
7.88,0.32941
7.888,0.33529
7.896,0.33529
7.904,0.34902
7.912,0.35882
7.92,0.3549
7.928,0.3451
7.936,0.31373
7.944,0.3098
7.952,0.31373
7.96,0.31961
7.968,0.33529
7.976,0.32353
7.984,0.32941